Date;Para;Codigo;Rollos;Metros
06/08/24;Para Fabrica;Sijia - Green 18oz Fabric;2;100
07/08/24;Para Fabrica;Mesh Negro;2;100
07/08/24;Para Fabrica;Sijia - 1500D;1;50
07/08/24;Para Fabrica;Sijia - Blue 18oz Fabric;3;150
07/08/24;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
07/08/24;Para Fabrica;Sijia - Red 18oz Fabric;2;100
14/08/24;Para Fabrica;Sijia - White 18oz Fabric;1;50
26/08/24;Para Fabrica;Mesh Negro;3;150
26/08/24;Para Fabrica;Sijia - 1500D;1;50
26/08/24;Para Fabrica;Sijia - Black 18oz Fabric;1;50
26/08/24;Para Fabrica;Sijia - Green 18oz Fabric;1;50
26/08/24;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
29/08/24;Para Fabrica;Mesh Negro;2;100
29/08/24;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
29/08/24;Para Fabrica;Sijia - Green 18oz Fabric;1;50
29/08/24;Para Fabrica;Sijia - Red 18oz Fabric;1;50
29/08/24;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
30/08/24;Para Fabrica;Sijia - 1500D;2;100
30/08/24;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
30/08/24;Para Fabrica;Sijia - Green 18oz Fabric;1;50
30/08/24;Para Fabrica;Sijia - Red 18oz Fabric;1;50
30/08/24;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
30/08/24;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
06/09/24;Para Venta;Sijia - Rosa 18oz Fabric;1;50
09/09/24;Para Fabrica;Mesh Negro;2;100
09/09/24;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
10/09/24;Para Venta;Sijia - Orange 18oz Fabric;1;50
12/09/24;Para Fabrica;Sijia - Red 18oz Fabric;1;50
13/09/24;Para Fabrica;Dropstich 20cm;1;60
16/09/24;Para Fabrica;Sijia - Azul/Naranja;3;113
16/09/24;Para Fabrica;Sijia - Gris/Blanco;3;115
18/09/24;Para Fabrica;Sijia - White 18oz Fabric;1;50
24/09/24;Para Fabrica;Sijia - Azul/Naranja;1;50
26/09/24;Para Venta;Sijia - Rosa 18oz Fabric;2;100
27/09/24;Para Fabrica;Mesh Negro;3;140
27/09/24;Para Fabrica;Sijia - 1500D;2;100
27/09/24;Para Fabrica;Sijia - Azul/Naranja;2;100
27/09/24;Para Fabrica;Sijia - Black 18oz Fabric;2;100
27/09/24;Para Venta;Sijia - Blue 18oz Fabric;1;50
27/09/24;Para Fabrica;Sijia - Cyan 18oz Fabric;2;104
27/09/24;Para Venta;Sijia - Green 18oz Fabric;1;50
27/09/24;Para Fabrica;Sijia - Green 18oz Fabric;3;150
27/09/24;Para Fabrica;Sijia - Red 18oz Fabric;2;100
27/09/24;Para Fabrica;Sijia - Yellow 18oz Fabric;2;78
03/10/24;Para Fabrica;Sijia - Grey 18oz Fabric;2;100
04/10/24;Para Fabrica;Lona Impresi—n;1;50
04/10/24;Para Fabrica;Sijia - Azul/Naranja;4;190
07/10/24;Para Fabrica;Lona Impresi—n;1;50
08/10/24;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
08/10/24;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
08/10/24;Para Fabrica;Sijia - White 18oz Fabric;1;56
10/10/24;Para Fabrica;Mesh Negro;1;50
10/10/24;Para Fabrica;Mesh Negro;1;50
10/10/24;Para Fabrica;Sijia - 1500D;2;100
10/10/24;Para Fabrica;Sijia - Green 18oz Fabric;2;100
10/10/24;Para Fabrica;Sijia - Gris/Blanco;2;100
10/10/24;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
10/10/24;Para Fabrica;Sijia - Purple 18oz Fabric;2;100
10/10/24;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
16/10/24;Para Fabrica;Sijia - 1500D;2;100
16/10/24;Para Fabrica;Sijia - Azul/Naranja;3;150
16/10/24;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
16/10/24;Para Fabrica;Sijia - Green 18oz Fabric;1;50
16/10/24;Para Fabrica;Sijia - Red 18oz Fabric;1;50
16/10/24;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
17/10/24;Para Fabrica;TPU 7mm;1;32
18/10/24;Para Fabrica;TPU 7mm;1;50
21/10/24;Para Venta;Sijia - Blue 18oz Fabric;2;100
21/10/24;Para Venta;Sijia - Yellow 18oz Fabric;1;50
25/10/24;Para Fabrica;Sijia - 1500D;3;150
25/10/24;Para Fabrica;Sijia - Azul/Naranja;4;200
25/10/24;Para Fabrica;Sijia - Gris/Blanco;4;200
25/10/24;Para Fabrica;Sijia - White 18oz Fabric;1;50
28/10/24;Para Fabrica;Mesh Negro;3;150
